numero_amostra,accel_x,accel_y,accel_z,giro_x,giro_y,giro_z
1,2960,-8,17404,685,927,-130
2,3036,52,17384,642,797,-164
3,2936,36,17428,651,833,-147
4,2984,104,17332,641,843,-170
5,2992,48,17424,640,812,-186
6,2968,32,17412,601,800,-131
7,2924,-8,17528,616,810,-166
8,2988,68,17392,647,809,-211
9,3016,12,17500,656,824,-161
10,3020,20,17408,650,811,-183
11,2980,56,17420,651,824,-175
12,2944,128,17372,637,831,-174
13,2936,40,17456,651,808,-188
14,2932,100,17476,642,811,-155
15,3304,192,17440,881,-110,1638
16,2940,48,17260,658,780,-134
17,3000,16,17452,635,802,-187
18,2988,-12,17428,660,750,-153
19,2968,32,17508,650,746,-138
20,2912,100,17400,642,884,-161
21,2884,92,17336,643,839,-181
22,2952,60,17496,659,801,-172
23,3072,128,17492,646,1055,-169
24,2900,72,17356,643,929,-189
25,2896,56,17412,647,823,-147
26,3000,-52,17376,864,668,2386
27,2948,80,17536,797,724,694
28,3016,164,17436,699,528,-27
29,2952,492,17368,684,715,98
30,2956,60,17364,666,819,-166
31,2948,56,17460,642,793,-177
32,2928,104,17264,644,813,-163
33,2856,72,17368,660,794,-157
34,2948,32,17508,669,842,-191
35,-4248,-1384,15824,-23339,30261,-298
36,52,-12980,13836,32767,9418,-7082
37,-6372,-9412,8396,-21315,6696,14558
38,-12548,-7032,6756,12118,-10639,4225
39,-864,-8112,17252,9932,-14782,-15417
40,-1292,3412,17396,1283,-1013,3751
41,-1292,3520,11692,-32768,-3413,7428
42,1216,-16316,6736,26094,888,-3596
43,-3152,14452,9660,19429,-1130,-8016
44,1764,-16460,-1836,-32768,-15307,-11602
45,2416,-520,20128,32767,10528,-6178
46,-6868,10992,10536,-4992,3495,-818
47,-4244,3596,18912,-9658,9835,5465
48,-6708,3776,27332,-26555,545,-4514
49,-15820,-1796,1544,-21,9761,1357
50,-14296,-2372,-1144,2203,-5784,-8718
51,-9960,-4496,6828,5328,8338,358
52,-14432,-8780,2188,-3844,5451,798
53,-14780,-5036,-6576,1827,7263,1285
54,-12488,-420,6476,32767,-32768,-1109
55,-6132,-5244,15176,-12634,423,5026
56,-6180,19468,-28884,30210,-32768,18668
57,26060,-7904,30892,17441,32767,-1966
58,11660,32767,-28012,-32768,-10026,-32768
59,6964,-25520,-1724,-10429,-32768,-28635
60,29260,-8800,26696,-873,32767,-6255
61,4340,-9784,5052,13950,32767,32767
62,4032,-11548,8492,9814,-3266,-6094
63,3724,11316,12456,-25080,494,-2378
64,2268,-4460,14620,-17952,229,-1917
65,4772,-4284,18928,-3570,4865,4519
66,748,11252,17096,2445,-3041,2330
67,1648,-7824,12324,-12786,-8577,7336
68,312,-2548,17124,1869,4194,-8107
69,3616,-5532,20156,7183,991,6658
70,3180,-696,18296,10312,1679,1346
71,3588,-10816,13216,23362,13380,-5629
72,2888,-11000,11372,-19585,-12280,816
73,360,-2628,19372,32767,18036,-12438
74,-6332,5980,13028,-32768,-12272,8067
75,-2388,-4576,17220,9091,778,4340
76,-9432,-13236,32767,32767,22862,2733
77,-1012,544,16868,32767,9681,2337
78,-5924,6128,11640,-12543,-8987,5043
79,4644,-12948,12052,-30017,-2936,3916
80,-1744,11072,16712,13370,-295,-5166
81,2316,-12840,6976,-14795,-8143,-2789
82,-3244,8232,13272,391,-522,-5405
83,2060,-13828,6692,21905,-5700,3700
84,-6416,4912,16556,-32768,177,-6676
85,6796,-18452,7140,23747,-7180,-11801
86,-6688,9612,7672,4585,549,-8215
87,7956,-13212,12116,32767,23249,1591
88,-3376,-7412,19292,-32768,-19961,4032
89,5504,-13248,-8352,3434,1965,-410
90,-5456,-1652,14780,-32768,-32019,11934
91,2344,2880,16620,32767,29750,-6642
92,-316,-9000,13268,-30176,-6854,-9552
93,2776,-15748,7276,-8916,-2143,3032
94,1404,-15704,-3576,-18314,-6890,1161
95,120,-15296,-6120,-3131,-4042,-1781
96,592,-15744,-4956,8536,-5062,-8178
97,3964,-1572,16056,8802,5620,-18899
98,-9292,4608,15636,16516,870,-6079
99,-8172,11752,11932,5063,-667,-4036
100,-12572,5964,7688,4171,-3122,-6930
101,-9376,-3208,14560,-26382,-20540,20428
102,-7072,-14172,11652,-5307,-40,434
103,-5208,-16716,1200,3134,-2866,-4410
104,-10948,3000,13060,20330,-8232,-7834
105,-7456,2208,16324,-22817,-4942,4605
106,-4500,-10568,12348,2857,181,310
107,-3260,-12628,7780,-14994,-5383,-1978
108,-1260,-2024,17952,6788,-8895,7619
109,-24,-10552,12056,-16129,1404,1415
110,-1832,1660,17836,32767,769,-3777
111,-1820,-11088,7928,-32768,10531,-15931
112,376,-12128,13156,19406,-3994,2564
113,-492,2484,16740,1768,-2963,-652
114,824,5240,16972,-1222,1329,23
115,1364,-12468,11568,-24497,2766,-2352
116,-180,-13940,9488,4378,1131,2270
117,-3416,-1564,16628,26125,2127,1671
118,-9192,1880,12588,-4474,13268,-2249
119,13648,9808,32767,27277,4468,-2823
120,-9144,1784,11372,1682,9133,-1076
121,492,2720,16772,13426,-11079,-1433
122,-9184,964,11880,4145,25482,-217
123,-5500,-3044,15016,12697,-20419,-4185
124,-5876,-2908,12228,-23480,32767,3101
125,-5256,-3344,12692,-10469,-20822,-8794
126,-1660,1424,21824,547,11938,-3066
127,-10344,-3568,9776,3910,-6479,-1670
128,1960,1092,23396,3533,276,486
129,-11668,-2900,8960,5183,3027,5273
130,-2136,724,17016,18029,-11298,-308
131,-7636,460,13176,-8843,12800,4365
132,-6576,-1032,18704,18560,-11822,1483
133,-7780,-2612,13524,-5663,19012,4684
134,-7580,-536,12108,-4479,-13323,-7288
135,-1480,1184,17088,-723,1961,-4020
136,-9488,-1204,10124,3310,2901,8263
137,-1744,600,19884,7697,-11138,-729
138,-7708,-3848,13312,-11187,13468,6655
139,-1112,2712,16184,10650,-17517,437
140,-6728,-1684,12292,-12421,7047,5580
141,-4688,-2244,17552,7567,-12601,-5813
142,-4100,-5668,11996,-20429,18426,6306
143,-6832,2240,16396,18359,-11755,-8178
144,-4632,7996,16460,-32768,6662,8248
145,-5788,-12860,10836,-1136,2028,-3391
146,-1968,-5344,17632,17880,7210,539
147,-6500,2588,17052,8138,2280,-4339
148,-4012,-4260,19172,-1271,154,32767
149,636,-5776,17116,-9671,-10004,-32768
150,-112,2864,17968,-1904,1511,8620
151,140,-2892,16672,5515,5218,32767
152,-332,-4900,20704,1685,3509,-32768
153,-980,4668,19400,573,179,241
154,1384,-3080,16016,-1553,11181,32767
155,1084,-7444,12252,2274,4094,-25152
156,2388,4752,18056,3450,659,-3652
157,3908,6532,17824,-5724,-154,32767
158,244,-5024,16656,-727,4924,-7879
159,1976,3020,17072,56,-2891,-9148
160,632,-3504,15492,11416,1338,25155
161,348,-3788,15948,-2442,3427,-15173
162,3336,9156,17776,6022,-46,-14221
163,2000,-72,17268,1345,4476,32767
164,428,-1712,16520,7767,-4097,11400
165,5264,-13320,7540,-2989,-10024,891
166,3424,2592,18140,-9674,-11855,-32768
167,856,6216,18204,1191,894,-6283
168,5648,3140,18600,7656,13424,32767
169,1972,-5576,15900,7564,2985,29410
170,-832,-2272,16480,-2090,7205,-5492
171,5060,-9984,17596,-8554,16503,-32768
172,3312,7180,16128,-4609,2386,-4916
173,540,-2264,11616,-8424,-10995,-3797
174,-8796,-2496,6612,556,-1536,1062
175,-1296,-1152,23244,-5337,7204,9222
176,-5948,-3720,15352,32767,-11163,-8328
177,-2692,-4668,15772,-28954,-503,8993
178,-6584,-2212,13948,14109,-7787,-5504
179,-1472,1616,18068,-3507,-596,1739
180,-3008,-7124,19260,-25997,10074,1661
181,-4196,-7604,19228,16683,7534,-1939
182,-100,-4152,15640,6673,2650,-4450
183,536,-8928,14936,-12550,-5016,11747
184,-2868,-112,17104,32767,3373,-9163
185,92,-12912,15052,32004,-7324,16547
186,-7216,-7352,15824,-3152,387,-2366
187,-1448,-1432,17908,8363,-3723,-5485
188,-608,3224,16764,-3511,1662,4247
189,-5272,-1296,16056,-10180,6129,-1177
190,-6140,-4304,15140,-2607,-5520,-4942
191,-56,-2496,16664,3937,-5696,-1137
192,912,-1396,20096,2412,1580,-2002
193,-5124,-7284,14352,-4966,7676,2402
194,-7160,-5156,13728,1575,-3254,-2835
195,-620,-924,18328,4314,-1698,-262
196,664,-1964,19340,-3415,4818,-1031
197,-5092,-6420,15264,-1319,4483,-173
198,408,-3100,20744,9682,-8919,-464
199,-376,-1872,17376,-3620,4880,-1388
200,-9316,-7112,15316,3722,7357,9935
201,-544,-3280,19320,5600,-3190,-641
202,-1388,0,20104,5004,3072,-1588
203,576,-1012,17044,12911,1031,2392
204,2184,-1180,17048,-843,-600,-137
205,3764,-2832,17300,189,284,-371
206,-3256,-6156,14264,29684,16633,6856
207,-7912,-7284,14524,2262,-307,-278
208,-7388,-6832,13832,460,1780,-71
209,-7292,-7476,13956,1180,-208,12
210,-7132,-6884,9088,4552,618,7154
211,-1148,60,22964,-793,3451,951
212,-9872,-5952,6784,-4115,-1080,-3525
213,-1440,-1936,21512,-1480,308,5351
214,-3256,-4220,16968,-19061,7407,-7898
